ax,ay,az,gx,gy,gz
9148,-15420,3148,-67,-1010,545
9392,-15228,3132,32,-826,566
9256,-15236,3156,-48,-925,560
9096,-15324,3128,-82,-1017,564
9380,-15364,2948,-55,-1400,507
9796,-14952,2684,303,1327,554
9276,-15236,3340,-163,-2423,542
9488,-15208,3052,88,-336,533
9236,-15156,3088,-95,-632,535
9272,-14728,3192,-275,-1237,522
9616,-14768,3160,-75,-1156,561
9564,-15016,3120,-52,-555,558
9316,-15084,3044,-39,-798,556
9292,-15036,3180,-55,-908,537
9224,-15128,3236,-36,-1008,536
8900,-15492,3256,112,-773,577
8896,-14672,3356,44,-1302,554
9044,-15172,3280,-55,-535,554
9368,-14996,3244,-29,-6,536
8536,-17680,3424,-924,-104,524
9088,-15908,3180,147,-8,523
9264,-15344,3212,-46,-988,569
9212,-12952,3096,183,-998,534
9128,-15664,3152,-2,-1284,564
9272,-15520,3164,-22,-966,543
7264,-19164,4500,-1641,-7271,542
9236,-15360,3148,-36,-1001,510
9156,-13820,3244,889,-2065,549
9688,-16484,2988,-631,-1449,541
8920,-15236,3252,-37,-2074,568
8144,-16516,3404,-1073,627,554
4784,-9972,4272,-628,577,568
14528,-18928,2760,2603,4816,550
9284,-14128,2784,-343,-1201,524
180,-13428,2644,-786,864,540
9572,-19412,3300,-91,-2872,565
8432,-13368,3556,-402,959,541
9372,-18996,3128,-632,-2776,535
9396,-15104,3108,13,-411,528
9340,-15820,3016,0,-1289,551
9140,-15428,3236,-21,501,533
9388,-15152,3248,434,257,524
9012,-16376,3508,2069,-2141,530
7020,-15980,3648,-3792,3087,501
8576,-15960,3228,186,-1891,564
9760,-15592,2900,-188,-4192,517
10284,-14228,3232,-594,-2284,543
9380,-14524,3296,-40,-2971,568
9040,-16076,2704,-944,-2402,542
9584,-15216,3424,-252,-2085,526
9588,-15988,3564,296,584,540
9668,-16276,3052,-201,2066,543
11424,-15432,3148,136,-32,563
8824,-15516,3264,-124,189,560
10588,-17908,3196,-450,1029,525
6884,-16560,3212,2013,420,544
8656,-15616,3152,-186,-1429,562
9360,-15548,3192,211,-2353,534
8588,-16224,3404,-294,-2095,540
9768,-15708,4100,20,-2745,553
9736,-17144,3152,147,-1386,587
3308,-12788,2376,6837,-1139,534
8232,-17396,3232,-155,-781,548
7792,-16720,3352,-280,-484,536
7872,-17148,3328,-134,-131,547
7484,-17020,3532,-101,749,526
6952,-17524,3348,0,490,546
8244,-15304,2812,-687,-711,544
4264,-19468,3628,-3970,3371,550
4432,-22752,3552,-279,-3211,582
5832,-17816,3500,283,-2939,537
5584,-17724,3468,-161,99,543
10012,-14120,3200,1069,-8920,541
8468,-15632,3236,242,-744,550
9008,-17396,3456,102,-1866,532
8428,-16700,3408,585,1703,557
9348,-18824,3144,-274,33,567
9080,-17960,3240,-162,-899,531
8948,-17948,3176,-86,-754,570
9048,-17552,3280,-65,-1006,528
9376,-17568,3212,-102,-603,545
9164,-18076,3172,-328,-436,541
9108,-17548,3256,-79,-1169,548
9152,-17392,3280,-17,-1092,544
9068,-17284,3356,-51,-982,528
8992,-17808,3212,-57,-980,549
9060,-17976,3132,-46,-978,537
9056,-17668,3144,-72,-970,558
9044,-17628,3212,-50,-1003,526
9104,-17764,3220,-51,-966,543
9048,-17796,3236,-69,-946,583
8956,-17512,3276,-73,-962,529
8944,-17720,3188,-60,-1012,544
8524,-14872,3052,2279,435,548
7472,-22484,3300,-32,-546,547
8748,-17124,3580,-267,-2109,542
9008,-17840,3212,-53,-828,526
9116,-17676,3344,-45,-972,536
9084,-17612,3252,-53,-959,562
9140,-17640,3248,-55,-932,539
9000,-17468,3344,-42,-949,539
9124,-17732,3208,-60,-947,541
9060,-17824,3072,-21,-941,537
9012,-17536,3308,-63,-923,514
9180,-17920,3116,-48,-1018,536
9044,-17820,3224,-59,-961,549
9084,-17688,3172,-61,-1005,576
9164,-17768,3112,-46,-941,562
9144,-17388,3288,-32,-964,553
9192,-17600,3372,-56,-1000,566
9100,-17532,3372,-52,-939,558
8940,-17612,3364,-52,-1009,566
9088,-17528,3180,-61,-989,551
9084,-17636,3288,-77,-981,513
9140,-17720,3240,-47,-1014,502
9076,-17576,3340,-63,-954,532
9136,-17824,3200,-37,-955,522
9056,-17680,3088,-66,-964,544
9120,-17576,3336,-46,-938,540
9112,-17596,3268,-56,-977,559
9024,-17340,3504,-64,-949,533
9008,-18308,3180,-22,-1156,537
8996,-17744,3220,-62,-777,542
9104,-17756,3216,-50,-997,544
9040,-17576,3456,-80,-970,550
9148,-17836,3248,-44,-984,540
9016,-17220,3308,-52,-1000,530
9056,-17656,3188,-69,-987,553
9128,-17500,3360,-56,-1002,538
9196,-17900,3188,-77,-937,548
9136,-17700,3264,-58,-996,548
9148,-17924,3208,-44,-985,540
9124,-17756,3260,-71,-1154,553
9048,-17860,3120,-58,-903,573
9104,-17828,3232,-52,-943,549
9088,-17440,3340,-52,-965,569
9140,-17712,3204,-48,-970,560
9044,-17764,3244,-56,-948,535
9100,-17640,3132,-36,-940,546
9068,-17580,3264,-60,-990,563
9052,-17732,3220,-57,-978,557
9056,-17568,3332,-39,-979,557
9164,-17916,3264,-39,-964,535
9036,-17840,3212,-49,-979,553
9168,-17920,3192,-45,-986,547
9056,-17548,3292,-69,-949,542
9132,-17668,3204,-54,-963,563
9028,-17592,3296,-60,-984,529
9136,-17648,3244,-77,-971,526
9052,-17312,3320,-48,-913,519
9028,-18112,3176,-48,-955,544
9072,-17872,3136,-55,-1040,534
9164,-17604,3264,-44,-1003,547
8992,-17860,3288,-125,-1392,552
9076,-17844,3264,-44,-1042,542
9108,-17724,3228,-58,-968,555
9012,-17652,3236,-55,-1004,511
9044,-17596,3320,-54,-967,541
9112,-17768,3216,-63,-975,553
9068,-17840,3192,-44,-979,558
9084,-17412,3408,-56,-1015,545
9060,-17580,3260,-56,-955,552
9140,-17564,3236,-54,-970,550
9096,-17856,3352,-51,-990,562
9148,-17896,3232,-39,-931,562
9172,-17552,3288,-38,-951,561
9056,-17636,3332,-58,-990,535
9168,-17612,3340,-84,-958,549
9032,-17620,3312,-62,-983,542
9108,-17652,3324,-59,-975,536
9048,-17548,3300,-42,-973,524
9204,-17972,3248,-46,-960,544
8996,-17488,3336,-56,-967,526
9120,-17740,3224,-41,-976,570
8984,-17460,3268,-49,-989,537
9124,-17656,3372,-61,-943,540
9120,-17704,3204,-48,-976,533
9096,-17516,3268,-41,-950,535
9152,-17812,3180,-42,-1000,552
9044,-17668,3272,-49,-948,533
9124,-17524,3152,-50,-945,517
9036,-17836,3220,-47,-985,562
9048,-17604,3324,-53,-966,541
9000,-17792,3288,-51,-958,567
9088,-17524,3296,-60,-962,546
9012,-17492,3292,-55,-967,539
9076,-17844,3244,-69,-947,538
9088,-17776,3296,-55,-979,539
9040,-17516,3344,-58,-955,550
9036,-17668,3248,-67,-975,552
9100,-17784,3384,-63,-970,544
9096,-17584,3252,-46,-980,523
9120,-17728,3144,-48,-814,544
9008,-17708,3276,-57,-976,530
9048,-17504,3272,-59,-986,534
8932,-17460,3400,-12,-707,572
9112,-17604,3120,-55,-1014,541
9084,-17668,3268,-49,-975,571
9116,-17668,3216,-59,-912,569
9220,-17252,3388,-62,-1024,567
9144,-17472,3280,-62,-979,545
9008,-17784,3252,-62,-1043,550
9024,-17836,3188,-73,-995,557
9108,-17604,3236,-76,-971,538
9164,-17284,3392,-16,-1141,545
9088,-17400,3288,-57,-957,581
8988,-17528,3384,-69,-1003,567
9160,-17628,3240,-41,-965,532
9112,-17632,3276,-57,-1004,545
9084,-17548,3332,-71,-903,550
8996,-17340,3208,-81,-972,565
9112,-17484,3432,-43,-999,574
9100,-17764,3132,-41,-976,530
9064,-17488,3260,-61,-1084,567
9144,-17772,3244,-91,-911,573
9020,-17592,3348,-25,-935,570
9108,-18100,3176,-50,-943,551
8960,-17560,3276,-31,-1052,530
8972,-17400,3360,-60,-891,552
ax,ay,az,gx,gy,gz
9076,-17688,3140,-40,-968,527
9056,-17492,3216,-50,-1045,530
9104,-17732,3236,-69,-985,544
9240,-17548,3312,-59,-980,520
9080,-17568,3244,-50,-1000,545
9100,-17740,3220,-54,-1018,545
9108,-17800,3312,-48,-958,543
9120,-17476,3212,-77,-953,551
9148,-17816,3060,-78,-1021,531
8916,-17724,3352,-54,-978,534
9036,-17460,3284,-59,-938,558
9196,-17708,3208,-93,-983,579
9084,-17848,3284,-49,-1022,507
8876,-17932,3292,-64,-718,554
9204,-17872,3260,-72,-869,519
9040,-17624,3264,-68,-1019,538
9076,-17816,3104,-67,-1002,560
9068,-17396,3260,-71,-963,542
9148,-17656,3288,-55,-976,546
9072,-17772,3152,-52,-990,551
9100,-17956,3144,-65,-974,553
